"","prop_US_house","prop_US_sen","prop_gov","party_diff_uncontested_state_house","state_house_contested","party_diff_uncontested_state_sen","state_sen_contested"
"222",0.438593406,0.495080113,0.5976,-0.109243697,0.425315097,-0.029850746,0.456767225
"223",0.470178673,0.495080113,0.5064,-0.122807018,0.456453173,-0.076923077,0.486812509
"224",0.406978955,0.264782439,0.5064,-0.113475177,0.394933754,-0.058823529,0.399169169
"225",0.44007798,0.484435533,0.5047,-0.138461538,0.451218678,-0.058823529,0.488955614
"226",0.493574058,0.484435533,0.5047,-0.131386861,0.444682167,-0.072463768,0.484727338
"227",0.582050923,0.387087891,0.6821,-0.065693431,0.465123702,-0.063291139,0.519329053
"228",0.490808714,0.434763346,0.6821,-0.05982906,0.427096616,-0.103448276,0.459041431
"229",0.350465423,0.434763346,0.4563,-0.285714286,0.43268329,-0.283018868,0.468513416
"230",0.400244874,0.411703192,0.4563,-0.206896552,0.448045101,-0.166666667,0.39942555
"231",0.452963843,0.289935492,0.3004,-0.25,0.419962526,-0.296296296,0.411447957
"232",0.299673684,0.289935492,0.3004,-0.203389831,0.391286582,-0.245901639,0.361316818
"233",0.350007353,0.333112052,0.4258,-0.089041096,0.425581312,-0.066666667,0.421842503
"234",0.298833386,0,0.4258,-0.175,0.441202818,-0.210526316,0.39022451
"235",0.41688348,0,0.4558,-0.130434783,0.440386758,-0.098360656,0.419331099
"236",0.407658025,0.371679397,0.4558,-0.109243697,0.423361739,-0.196428571,0.409167141
"237",0.363941599,0.259385199,0.3573,-0.219298246,0.412908751,-0.275862069,0.400091695
"238",0.33863319,0.259385199,0.3573,-0.088888889,0.405017457,-0.111111111,0.405019442
"239",0.367868551,0.34671638,0.525187121,-0.202586207,0.380384136,-0.254901961,0.401380082
"240",0.318325271,0.295400979,0.525187121,-0.193548387,0.360933918,-0.145299145,0.337952305
"241",0.481613568,0.460195087,0.4045,0,0.538576525,0.068965517,0.487578416
"242",0.458681647,0.568601635,0.4045,0,0.53781489,0.046511628,0.520477525
"243",0.581209358,0.568601635,0.4993,0.03515625,0.51715868,0.125925926,0.486189932
"244",0.517926163,0.509471003,0.4993,-0.033472803,0.533173909,0.173913043,0.413176557
"245",0.538074686,0.658711515,0.112,-0.0657277,0.59866439,-0.058823529,0.588870632
"246",0.533971795,0.658711515,0.112,0.03652968,0.551580379,0.014084507,0.513321665
"247",0.549619269,0.650684019,0.487,0.026455026,0.563508228,-0.029411765,0.56065451
"248",0.560841965,0.553004353,0.487,0.035874439,0.555273048,0.096153846,0.487007616
"249",0.480779877,0.553004353,0.3503,0.024875622,0.488464195,0.090909091,0.412398288
"250",0.555721975,0.579653243,0.3503,-0.034146341,0.571205543,0.061538462,0.52349902
"251",0.490822916,0.485156816,0.4819,0.011049724,0.553257238,-0.066666667,0.5632719
"252",0.5626428,0.485156816,0.4819,0.079096045,0.51231167,0.034482759,0.534824541
"253",0.512266741,0.613437824,0.5366,0.019323671,0.567886426,0.08988764,0.508826103
"254",0.540792517,0.721201023,0.5366,0.032432432,0.560070756,-0.032258065,0.577882393
"255",0.57931056,0.721201023,0.5591,0.05027933,0.6020733,-0.03030303,0.64662804
"256",0.618253949,0.703955736,0.5591,0.139037433,0.535271271,0.098360656,0.516651723
"257",0.521730474,0.491535589,0.5046,0.13,0.441594183,0.117647059,0.507595257
"258",0.55411308,0.491535589,0.5046,0.105555556,0.552776499,0.144329897,0.547381349
"259",0.514234716,0.556386544,0.478337795,-0.041871921,0.449715613,-0.265822785,0.523741118
"260",0.539660351,0.579675514,0.478337795,-0.115479115,0.47264903,-0.203883495,0.45871466
"261",0.524931708,0.405027153,0.4262,0.010416667,0.501272329,0,0.505942307
"262",0.497032351,0.462142054,0.4205,0.014851485,0.465608302,0,0.450569785
"263",0.492379479,0.458515272,0.4205,0.02173913,0.499907272,0.020833333,0.524449262
"264",0.471369554,0.458515272,0.4745,-0.037234043,0.480009317,-0.0625,0.46898739
"265",0.510450913,0.388675241,0.4745,0.005649718,0.493163841,0.045454545,0.503338684
"266",0.517384778,0.31857145,0.5318,0.01744186,0.494527188,-0.045454545,0.491418678
"267",0.548875714,0.463595546,0.5318,-0.005681818,0.53578214,-0.044444444,0.535292482
"268",0.547077107,0.415174437,0.545,0,0.509020654,0,0.478421109
"269",0.43269914,0.311699894,0.545,-0.073170732,0.481304614,0.041666667,0.443733978
"270",0.456336199,0.311699894,0.5241,0.005263158,0.502585427,-0.090909091,0.50792368
"271",0.456727299,0.646811197,0.5241,-0.039325843,0.519729577,-0.135135135,0.507925484
"272",0.455250246,0.323639399,0.5757,0,0.51069464,-0.02173913,0.4616995
"273",0.432447467,0.323639399,0.5757,-0.038043478,0.510287852,-0.068181818,0.457638954
"274",0.419644646,0.623509042,0.4609,-0.054945055,0.500902977,-0.095238095,0.390113229
"275",0.494134518,0,0.4609,0.005714286,0.528960616,-0.066666667,0.502049068
"276",0.528215201,0,0.409,0,0.498555692,-0.044444444,0.480844312
"277",0.4112635,0.422921878,0.409,-0.07804878,0.481812493,-0.0625,0.428911723
"278",0.458063419,0.53055323,0.065383496,-0.021978022,0.455298077,-0.071428571,0.438512366
"279",0.388966787,0.53055323,0.065383496,-0.184,0.38057238,-0.166666667,0.360751043
"280",0.421853928,0.44869331,0.494340022,-0.055045872,0.346614627,-0.092307692,0.3362955
"281",0.49821952,0.483755865,0.4127,-0.038961039,0.489391121,0,0.477558961
"282",0.513290173,0.459879689,0.4127,-0.059574468,0.493000323,0,0.493893647
"283",0.52657127,0.459879689,0.4685,0.022727273,0.530388797,0.014925373,0.525654799
"284",0.469226901,0.559512325,0.4685,0.040909091,0.518268611,-0.016393443,0.520597349
"285",0.481206372,0.337060361,0.4804,-0.048672566,0.551289524,0.083333333,0.530316305
"286",0.488858294,0.337060361,0.4804,-0.008438819,0.542246178,0.03030303,0.532501378
"287",0.510083921,0.545330693,0.3906,-0.011627907,0.523878858,0.095238095,0.522791948
"288",0.403196658,0.280951666,0.3906,0.005617978,0.505753185,-0.017241379,0.493732115
"289",0.421023417,0.280951666,0.4225,-0.055214724,0.458769074,-0.095238095,0.503884109
"290",0.450479128,0.525854227,0.4225,-0.010989011,0.492482308,-0.04,0.462090869
"291",0.380174972,0.308309396,0.5293,0,0.488663951,-0.093023256,0.511981583
"292",0.425666392,0.308309396,0.5293,0,0.491341539,0.021276596,0.442941543
"293",0.453580843,0.553077821,0.542,-0.011695906,0.501309727,0.014492754,0.521181738
"294",0.43158409,0.284283784,0.542,0.017751479,0.485509253,-0.022727273,0.472345754
"295",0.485496762,0.284283784,0.549,0.03030303,0.530630336,0.022727273,0.584018179
"296",0.520998476,0.627078102,0.549,0.016304348,0.500979481,-0.106382979,0.528813625
"297",0.445446343,0.341027304,0.45,-0.154411765,0.481893711,-0.088235294,0.494072588
"298",0.515305306,0.341027304,0.45,-0.057553957,0.533366422,-0.055555556,0.52076488
"299",0.460782007,0.456505178,0.571526851,-0.085574572,0.407476845,-0.151260504,0.503865985
"300",0.45320357,0.372397349,0.571526851,-0.056140351,0.447732619,-0.052631579,0.448951851
"301",0.345910773,0.440528964,0.5111,-0.063636364,0.508681129,-0.027777778,0.508587256
"302",0.437623253,0.362392527,0.5111,-0.004878049,0.445075671,0.053333333,0.425853535
"303",0.462932642,0.362392527,0.5446,-0.026785714,0.481956012,0.053333333,0.425853535
"304",0.445287225,0.218420624,0.5446,-0.149606299,0.466470368,-0.24742268,0.50095215
"305",0.397271931,0.299507265,0.481,-0.105263158,0.500445732,-0.24742268,0.50095215
"306",0.393488652,0.299507265,0.481,0.044444444,0.463185185,0.081081081,0.460115234
"307",0.504156363,0.263951222,0.5329,0.013274336,0.490140163,0.081081081,0.460115234
"308",0.452165693,0.331061376,0.5329,0.020325203,0.479682851,-0.058823529,0.469352089
"309",0.364901468,0.331061376,0.3591,-0.02293578,0.420781434,-0.058823529,0.469352089
"310",0.418237824,0.401733887,0.3591,-0.013157895,0.439439756,-0.039473684,0.426759612
"311",0.376935719,0.326138592,0.2359,-0.06185567,0.454227968,-0.039473684,0.426759612
"312",0.333525065,0.326138592,0.2359,-0.131979695,0.492280976,-0.013513514,0.408733328
"313",0.326547202,0,0.5397,-0.075757576,0.449895224,-0.013513514,0.408733328
"314",0.348381834,0.284399743,0.5397,-0.098039216,0.443538569,-0.075949367,0.425359538
